[TEST START] TURBOPUMP INLET TELEMETRY
[WARN] SENSOR S1 (INLET_P) EXPERIENCING HIGH FREQUENCY INTERFERENCE
[T+0.010] INLET_P: 933.19 | PUMP_RPM: 94956 | BRG_TEMP: 120.9
[T+2.940] INLET_P: 540.06 | PUMP_RPM: 94985 | BRG_TEMP: 119.6
[T+2.950] INLET_P: 279.62 | PUMP_RPM: 95030 | BRG_TEMP: 120.2
[T+2.960] INLET_P: 762.53 | PUMP_RPM: 94975 | BRG_TEMP: 120.5
[T+2.970] INLET_P: 343.19 | PUMP_RPM: 95019 | BRG_TEMP: 120.6
[T+2.980] INLET_P: 279.64 | PUMP_RPM: 95014 | BRG_TEMP: 120.4
[T+2.990] INLET_P: 644.39 | PUMP_RPM: 94973 | BRG_TEMP: 119.9
[T+3.000] INLET_P: 534.14 | PUMP_RPM: 94983 | BRG_TEMP: 121.0
[T+3.010] INLET_P: 313.20 | PUMP_RPM: 95002 | BRG_TEMP: 119.5
[T+3.020] INLET_P: 745.62 | PUMP_RPM: 94962 | BRG_TEMP: 120.1
[T+3.030] INLET_P: 492.19 | PUMP_RPM: 95004 | BRG_TEMP: 120.8
[T+3.040] INLET_P: 251.62 | PUMP_RPM: 94973 | BRG_TEMP: 119.5
[T+3.050] INLET_P: 572.87 | PUMP_RPM: 94957 | BRG_TEMP: 120.6
[T+3.060] INLET_P: 500.66 | PUMP_RPM: 94985 | BRG_TEMP: 120.0
[T+3.070] INLET_P: 262.58 | PUMP_RPM: 95032 | BRG_TEMP: 119.0
[T+3.080] INLET_P: 457.77 | PUMP_RPM: 94975 | BRG_TEMP: 119.1
[T+3.090] INLET_P: 578.83 | PUMP_RPM: 95019 | BRG_TEMP: 121.0
[T+3.100] INLET_P: 883.63 | PUMP_RPM: 95026 | BRG_TEMP: 119.6
[T+3.110] INLET_P: 369.46 | PUMP_RPM: 95008 | BRG_TEMP: 119.7
[T+3.120] INLET_P: 587.09 | PUMP_RPM: 94990 | BRG_TEMP: 119.2
[T+3.130] INLET_P: 397.24 | PUMP_RPM: 94988 | BRG_TEMP: 120.9
[T+3.140] INLET_P: 881.73 | PUMP_RPM: 95047 | BRG_TEMP: 120.9
[T+3.150] INLET_P: 867.80 | PUMP_RPM: 95009 | BRG_TEMP: 120.0
[T+3.160] INLET_P: 607.46 | PUMP_RPM: 95028 | BRG_TEMP: 119.6
[T+3.170] INLET_P: 281.22 | PUMP_RPM: 94979 | BRG_TEMP: 120.6
[T+3.180] INLET_P: 650.34 | PUMP_RPM: 95025 | BRG_TEMP: 119.5
[T+3.190] INLET_P: 345.75 | PUMP_RPM: 94968 | BRG_TEMP: 119.5
[T+3.200] INLET_P: 851.91 | PUMP_RPM: 95037 | BRG_TEMP: 120.5
[T+3.210] INLET_P: 663.96 | PUMP_RPM: 95045 | BRG_TEMP: 120.7
[T+3.220] INLET_P: 831.73 | PUMP_RPM: 95002 | BRG_TEMP: 120.7
[T+3.230] INLET_P: 872.49 | PUMP_RPM: 95032 | BRG_TEMP: 120.7
[T+3.240] INLET_P: 707.24 | PUMP_RPM: 95045 | BRG_TEMP: 120.5
[T+3.250] INLET_P: 296.97 | PUMP_RPM: 95050 | BRG_TEMP: 120.3
[T+3.260] INLET_P: 509.32 | PUMP_RPM: 94974 | BRG_TEMP: 119.2
[T+3.270] INLET_P: 286.25 | PUMP_RPM: 95049 | BRG_TEMP: 120.2
[T+3.280] INLET_P: 733.29 | PUMP_RPM: 95032 | BRG_TEMP: 119.0
[T+3.290] INLET_P: 735.65 | PUMP_RPM: 94996 | BRG_TEMP: 120.8
[T+3.300] INLET_P: 254.85 | PUMP_RPM: 95005 | BRG_TEMP: 120.6
[T+3.310] INLET_P: 441.36 | PUMP_RPM: 94960 | BRG_TEMP: 119.9
[T+3.320] INLET_P: 432.40 | PUMP_RPM: 94971 | BRG_TEMP: 119.3
[T+3.330] INLET_P: 666.43 | PUMP_RPM: 95037 | BRG_TEMP: 119.3
[T+3.340] INLET_P: 560.59 | PUMP_RPM: 95018 | BRG_TEMP: 120.5
[T+3.350] INLET_P: 743.10 | PUMP_RPM: 94951 | BRG_TEMP: 120.4
[T+3.360] INLET_P: 491.59 | PUMP_RPM: 95031 | BRG_TEMP: 120.6
[T+3.370] INLET_P: 504.25 | PUMP_RPM: 94967 | BRG_TEMP: 120.3
[T+3.380] INLET_P: 586.49 | PUMP_RPM: 94979 | BRG_TEMP: 119.9
[T+3.390] INLET_P: 874.24 | PUMP_RPM: 94960 | BRG_TEMP: 120.9
[T+3.400] INLET_P: 254.74 | PUMP_RPM: 94962 | BRG_TEMP: 119.9
[T+3.410] INLET_P: 821.60 | PUMP_RPM: 95008 | BRG_TEMP: 119.2
[T+3.420] INLET_P: 525.59 | PUMP_RPM: 94973 | BRG_TEMP: 120.7
[T+3.430] INLET_P: 286.61 | PUMP_RPM: 94971 | BRG_TEMP: 119.2
[T+3.440] INLET_P: 294.16 | PUMP_RPM: 95038 | BRG_TEMP: 120.7
[T+3.450] INLET_P: 641.57 | PUMP_RPM: 94956 | BRG_TEMP: 119.4
[T+3.460] INLET_P: 619.26 | PUMP_RPM: 94988 | BRG_TEMP: 119.9
[T+3.470] INLET_P: 441.70 | PUMP_RPM: 94980 | BRG_TEMP: 120.7
[T+3.480] INLET_P: 251.11 | PUMP_RPM: 94964 | BRG_TEMP: 120.2
[T+3.490] INLET_P: 546.02 | PUMP_RPM: 95026 | BRG_TEMP: 120.2
[T+3.500] INLET_P: 270.89 | PUMP_RPM: 95004 | BRG_TEMP: 120.6
[T+3.510] INLET_P: 364.65 | PUMP_RPM: 95037 | BRG_TEMP: 120.0
[T+3.520] INLET_P: 856.39 | PUMP_RPM: 94957 | BRG_TEMP: 120.5
[T+3.530] INLET_P: 253.73 | PUMP_RPM: 95033 | BRG_TEMP: 120.8
[T+3.540] INLET_P: 304.72 | PUMP_RPM: 95050 | BRG_TEMP: 119.1
[T+3.550] INLET_P: 904.55 | PUMP_RPM: 95004 | BRG_TEMP: 120.1
[T+3.560] INLET_P: 479.62 | PUMP_RPM: 95032 | BRG_TEMP: 119.1
[T+3.570] INLET_P: 512.23 | PUMP_RPM: 94970 | BRG_TEMP: 119.8
[T+3.580] INLET_P: 656.79 | PUMP_RPM: 94979 | BRG_TEMP: 119.1
[T+3.590] INLET_P: 530.92 | PUMP_RPM: 95030 | BRG_TEMP: 120.7
[T+3.600] INLET_P: 383.44 | PUMP_RPM: 94990 | BRG_TEMP: 120.0
[T+3.610] INLET_P: 845.48 | PUMP_RPM: 95029 | BRG_TEMP: 120.4
[T+3.620] INLET_P: 711.55 | PUMP_RPM: 94968 | BRG_TEMP: 120.0
[T+3.630] INLET_P: 733.67 | PUMP_RPM: 94987 | BRG_TEMP: 119.2
[T+3.640] INLET_P: 588.94 | PUMP_RPM: 95018 | BRG_TEMP: 120.5
[T+3.650] INLET_P: 760.68 | PUMP_RPM: 94983 | BRG_TEMP: 120.4
[T+3.660] INLET_P: 646.85 | PUMP_RPM: 94953 | BRG_TEMP: 120.9
[T+3.670] INLET_P: 701.13 | PUMP_RPM: 94989 | BRG_TEMP: 119.1
[T+3.680] INLET_P: 351.92 | PUMP_RPM: 95006 | BRG_TEMP: 119.3
[T+3.690] INLET_P: 710.79 | PUMP_RPM: 95048 | BRG_TEMP: 119.4
[T+3.700] INLET_P: 735.84 | PUMP_RPM: 94993 | BRG_TEMP: 119.7
[T+3.710] INLET_P: 295.84 | PUMP_RPM: 94978 | BRG_TEMP: 120.7
[T+3.720] INLET_P: 272.46 | PUMP_RPM: 94971 | BRG_TEMP: 119.9
[T+3.730] INLET_P: 602.56 | PUMP_RPM: 95022 | BRG_TEMP: 119.4
[T+3.740] INLET_P: 422.27 | PUMP_RPM: 95024 | BRG_TEMP: 119.3
[T+3.750] INLET_P: 664.68 | PUMP_RPM: 95015 | BRG_TEMP: 119.6
[T+3.760] INLET_P: 314.90 | PUMP_RPM: 94980 | BRG_TEMP: 120.7
[T+3.770] INLET_P: 674.66 | PUMP_RPM: 94963 | BRG_TEMP: 120.4
[T+3.780] INLET_P: 438.73 | PUMP_RPM: 94966 | BRG_TEMP: 119.2
[T+3.790] INLET_P: 879.73 | PUMP_RPM: 94965 | BRG_TEMP: 120.1
[T+3.800] INLET_P: 905.19 | PUMP_RPM: 94993 | BRG_TEMP: 119.7
[T+3.810] INLET_P: 691.25 | PUMP_RPM: 95016 | BRG_TEMP: 119.1
[T+3.820] INLET_P: 879.05 | PUMP_RPM: 95041 | BRG_TEMP: 119.8
[T+3.830] INLET_P: 395.54 | PUMP_RPM: 95032 | BRG_TEMP: 120.3
[T+3.840] INLET_P: 781.82 | PUMP_RPM: 94958 | BRG_TEMP: 120.1
[T+3.850] INLET_P: 758.07 | PUMP_RPM: 95010 | BRG_TEMP: 120.6
[T+3.860] INLET_P: 565.92 | PUMP_RPM: 95013 | BRG_TEMP: 120.9
[T+3.870] INLET_P: 901.37 | PUMP_RPM: 95030 | BRG_TEMP: 120.6
[T+3.880] INLET_P: 586.54 | PUMP_RPM: 95002 | BRG_TEMP: 119.2
[T+3.890] INLET_P: 634.17 | PUMP_RPM: 94990 | BRG_TEMP: 120.2
[T+3.900] INLET_P: 696.34 | PUMP_RPM: 95045 | BRG_TEMP: 120.0
[T+3.910] INLET_P: 442.20 | PUMP_RPM: 95021 | BRG_TEMP: 120.9
[T+3.920] INLET_P: 278.19 | PUMP_RPM: 95008 | BRG_TEMP: 120.2
[T+3.930] INLET_P: 664.91 | PUMP_RPM: 95034 | BRG_TEMP: 119.8
[T+3.940] INLET_P: 373.05 | PUMP_RPM: 95048 | BRG_TEMP: 120.4
[T+3.950] INLET_P: 681.30 | PUMP_RPM: 94977 | BRG_TEMP: 120.2
[T+3.960] INLET_P: 261.81 | PUMP_RPM: 95041 | BRG_TEMP: 119.1
[T+3.970] INLET_P: 707.83 | PUMP_RPM: 95018 | BRG_TEMP: 120.5
[T+3.980] INLET_P: 571.10 | PUMP_RPM: 95046 | BRG_TEMP: 120.4
[T+3.990] INLET_P: 395.68 | PUMP_RPM: 94955 | BRG_TEMP: 119.7
[T+4.000] INLET_P: 422.25 | PUMP_RPM: 95041 | BRG_TEMP: 120.3
[T+4.010] INLET_P: 698.39 | PUMP_RPM: 94988 | BRG_TEMP: 119.7
[T+4.020] INLET_P: 599.31 | PUMP_RPM: 95000 | BRG_TEMP: 120.3
[T+4.030] INLET_P: 745.57 | PUMP_RPM: 95048 | BRG_TEMP: 119.3
[T+4.040] INLET_P: 412.01 | PUMP_RPM: 95037 | BRG_TEMP: 119.3
[T+4.050] INLET_P: 542.04 | PUMP_RPM: 95003 | BRG_TEMP: 120.9
[T+4.060] INLET_P: 517.46 | PUMP_RPM: 95040 | BRG_TEMP: 120.0
[T+4.070] INLET_P: 757.45 | PUMP_RPM: 94958 | BRG_TEMP: 120.7
[T+4.080] INLET_P: 827.45 | PUMP_RPM: 94960 | BRG_TEMP: 119.1
[T+4.090] INLET_P: 476.37 | PUMP_RPM: 95028 | BRG_TEMP: 120.2
[T+4.100] INLET_P: 660.87 | PUMP_RPM: 95023 | BRG_TEMP: 120.0
[T+4.110] INLET_P: 540.60 | PUMP_RPM: 95011 | BRG_TEMP: 120.7
[T+4.120] INLET_P: 700.84 | PUMP_RPM: 94975 | BRG_TEMP: 119.1
[T+4.130] INLET_P: 800.39 | PUMP_RPM: 95039 | BRG_TEMP: 119.8
[T+4.140] INLET_P: 862.19 | PUMP_RPM: 94994 | BRG_TEMP: 119.7
[T+4.150] INLET_P: 609.04 | PUMP_RPM: 94976 | BRG_TEMP: 120.1
[T+4.160] INLET_P: 871.61 | PUMP_RPM: 94972 | BRG_TEMP: 120.5
[T+4.170] INLET_P: 866.27 | PUMP_RPM: 95011 | BRG_TEMP: 120.2
[T+4.180] INLET_P: 732.63 | PUMP_RPM: 95049 | BRG_TEMP: 120.3
[T+4.190] INLET_P: 798.73 | PUMP_RPM: 95006 | BRG_TEMP: 120.3
[T+4.200] INLET_P: 289.71 | PUMP_RPM: 95002 | BRG_TEMP: 120.0
[T+4.210] INLET_P: 877.41 | PUMP_RPM: 95008 | BRG_TEMP: 120.7
[T+4.220] INLET_P: 543.03 | PUMP_RPM: 94978 | BRG_TEMP: 120.7
[T+4.230] INLET_P: 778.77 | PUMP_RPM: 95036 | BRG_TEMP: 120.4
[T+4.240] INLET_P: 280.71 | PUMP_RPM: 95036 | BRG_TEMP: 120.8
[T+4.250] INLET_P: 316.49 | PUMP_RPM: 95031 | BRG_TEMP: 120.8
[T+4.260] INLET_P: 487.82 | PUMP_RPM: 95029 | BRG_TEMP: 120.6
[T+4.270] INLET_P: 680.88 | PUMP_RPM: 94981 | BRG_TEMP: 120.3
[T+4.280] INLET_P: 464.30 | PUMP_RPM: 94950 | BRG_TEMP: 120.5
[T+4.290] INLET_P: 583.15 | PUMP_RPM: 94973 | BRG_TEMP: 120.4
[T+4.300] INLET_P: 746.50 | PUMP_RPM: 94988 | BRG_TEMP: 119.7
[T+4.310] INLET_P: 807.54 | PUMP_RPM: 94967 | BRG_TEMP: 120.4
[T+4.320] INLET_P: 225.29 | PUMP_RPM: 95022 | BRG_TEMP: 119.6
[T+4.330] INLET_P: 485.46 | PUMP_RPM: 94985 | BRG_TEMP: 120.5
[T+4.340] INLET_P: 826.37 | PUMP_RPM: 94990 | BRG_TEMP: 120.2
[T+4.350] INLET_P: 652.41 | PUMP_RPM: 94987 | BRG_TEMP: 119.1
[T+4.360] INLET_P: 575.75 | PUMP_RPM: 94979 | BRG_TEMP: 119.7
[T+4.370] INLET_P: 241.98 | PUMP_RPM: 95012 | BRG_TEMP: 120.5
[T+4.380] INLET_P: 425.23 | PUMP_RPM: 95000 | BRG_TEMP: 120.0
[T+4.390] INLET_P: 774.93 | PUMP_RPM: 94986 | BRG_TEMP: 119.2
[T+4.400] INLET_P: 541.29 | PUMP_RPM: 94989 | BRG_TEMP: 120.6
[T+4.410] INLET_P: 708.19 | PUMP_RPM: 94992 | BRG_TEMP: 121.0
[T+4.420] INLET_P: 877.25 | PUMP_RPM: 95042 | BRG_TEMP: 119.5
[T+4.430] INLET_P: 817.91 | PUMP_RPM: 94981 | BRG_TEMP: 120.8
[T+4.440] INLET_P: 329.84 | PUMP_RPM: 95028 | BRG_TEMP: 119.3
[T+4.450] INLET_P: 435.67 | PUMP_RPM: 94952 | BRG_TEMP: 119.4
[T+4.460] INLET_P: 466.68 | PUMP_RPM: 95047 | BRG_TEMP: 120.3
[T+4.470] INLET_P: 249.37 | PUMP_RPM: 95018 | BRG_TEMP: 119.6
[T+4.480] INLET_P: 318.89 | PUMP_RPM: 95040 | BRG_TEMP: 120.0
[T+4.490] INLET_P: 268.52 | PUMP_RPM: 95046 | BRG_TEMP: 120.5
[T+4.500] INLET_P: 381.81 | PUMP_RPM: 95030 | BRG_TEMP: 120.7
[T+4.510] INLET_P: 456.87 | PUMP_RPM: 95009 | BRG_TEMP: 120.4
[T+4.520] INLET_P: 335.89 | PUMP_RPM: 95000 | BRG_TEMP: 119.5
[T+4.530] INLET_P: 515.74 | PUMP_RPM: 94989 | BRG_TEMP: 119.1
[T+4.540] INLET_P: 561.43 | PUMP_RPM: 94972 | BRG_TEMP: 120.2
[T+4.550] INLET_P: 663.10 | PUMP_RPM: 95006 | BRG_TEMP: 120.5
[T+4.560] INLET_P: 887.11 | PUMP_RPM: 94967 | BRG_TEMP: 120.1
[T+4.570] INLET_P: 517.65 | PUMP_RPM: 94950 | BRG_TEMP: 120.3
[T+4.580] INLET_P: 318.38 | PUMP_RPM: 95023 | BRG_TEMP: 120.4
[T+4.590] INLET_P: 501.73 | PUMP_RPM: 95023 | BRG_TEMP: 119.2
[T+4.600] INLET_P: 744.13 | PUMP_RPM: 95002 | BRG_TEMP: 120.3
[T+4.610] INLET_P: 317.22 | PUMP_RPM: 95031 | BRG_TEMP: 119.1
[T+4.620] INLET_P: 903.21 | PUMP_RPM: 95026 | BRG_TEMP: 120.8
[T+4.630] INLET_P: 561.75 | PUMP_RPM: 94964 | BRG_TEMP: 120.4
[T+4.640] INLET_P: 823.53 | PUMP_RPM: 94950 | BRG_TEMP: 119.9
[T+4.650] INLET_P: 213.67 | PUMP_RPM: 94964 | BRG_TEMP: 120.1
[T+4.660] INLET_P: 661.44 | PUMP_RPM: 94994 | BRG_TEMP: 120.6
[T+4.670] INLET_P: 764.57 | PUMP_RPM: 94992 | BRG_TEMP: 119.6
[T+4.680] INLET_P: 822.63 | PUMP_RPM: 95048 | BRG_TEMP: 119.8
[T+4.690] INLET_P: 728.11 | PUMP_RPM: 94985 | BRG_TEMP: 119.5
[T+4.700] INLET_P: 494.36 | PUMP_RPM: 95000 | BRG_TEMP: 119.1
[T+4.710] INLET_P: 489.18 | PUMP_RPM: 95008 | BRG_TEMP: 120.3
[T+4.720] INLET_P: 546.88 | PUMP_RPM: 94984 | BRG_TEMP: 120.5
[T+4.730] INLET_P: 272.52 | PUMP_RPM: 94990 | BRG_TEMP: 119.9
[T+4.740] INLET_P: 480.12 | PUMP_RPM: 95049 | BRG_TEMP: 119.8
[T+4.750] INLET_P: 737.42 | PUMP_RPM: 94962 | BRG_TEMP: 119.9
[T+4.760] INLET_P: 274.17 | PUMP_RPM: 95017 | BRG_TEMP: 119.2
[T+4.770] INLET_P: 717.29 | PUMP_RPM: 94999 | BRG_TEMP: 120.8
[T+4.780] INLET_P: 338.86 | PUMP_RPM: 94970 | BRG_TEMP: 120.8
[T+4.790] INLET_P: 433.13 | PUMP_RPM: 95027 | BRG_TEMP: 120.1
[T+4.800] INLET_P: 584.61 | PUMP_RPM: 95046 | BRG_TEMP: 120.8
[T+4.810] INLET_P: 358.51 | PUMP_RPM: 95050 | BRG_TEMP: 120.6
[T+4.820] INLET_P: 439.47 | PUMP_RPM: 95009 | BRG_TEMP: 120.5
[T+4.830] INLET_P: 281.60 | PUMP_RPM: 95041 | BRG_TEMP: 120.8
[T+4.840] INLET_P: 631.76 | PUMP_RPM: 94969 | BRG_TEMP: 120.3
[T+4.850] INLET_P: 648.72 | PUMP_RPM: 94972 | BRG_TEMP: 120.6
[T+4.860] INLET_P: 798.50 | PUMP_RPM: 95046 | BRG_TEMP: 120.4
[T+4.870] INLET_P: 303.52 | PUMP_RPM: 95015 | BRG_TEMP: 119.8
[T+4.880] INLET_P: 264.95 | PUMP_RPM: 95043 | BRG_TEMP: 120.5
[T+4.890] INLET_P: 501.18 | PUMP_RPM: 94952 | BRG_TEMP: 120.2
[T+4.900] INLET_P: 733.21 | PUMP_RPM: 95030 | BRG_TEMP: 119.7
[T+4.910] INLET_P: 385.88 | PUMP_RPM: 94970 | BRG_TEMP: 119.2
[T+4.920] INLET_P: 217.71 | PUMP_RPM: 94994 | BRG_TEMP: 119.2
[T+4.930] INLET_P: 602.19 | PUMP_RPM: 95050 | BRG_TEMP: 120.0
[T+4.940] INLET_P: 279.81 | PUMP_RPM: 95001 | BRG_TEMP: 120.7
[T+4.950] INLET_P: 762.28 | PUMP_RPM: 95039 | BRG_TEMP: 120.3
[T+4.960] INLET_P: 318.62 | PUMP_RPM: 94979 | BRG_TEMP: 120.2
[T+4.970] INLET_P: 251.62 | PUMP_RPM: 95003 | BRG_TEMP: 119.7
[T+4.980] INLET_P: 319.60 | PUMP_RPM: 95012 | BRG_TEMP: 119.7
[T+4.990] INLET_P: 204.57 | PUMP_RPM: 95048 | BRG_TEMP: 120.5
[T+5.000] INLET_P: 206.43 | PUMP_RPM: 95004 | BRG_TEMP: 119.1
[T+5.010] INLET_P: 594.00 | PUMP_RPM: 94985 | BRG_TEMP: 121.0
[T+5.020] INLET_P: 483.36 | PUMP_RPM: 95023 | BRG_TEMP: 120.8
[T+5.030] INLET_P: 455.67 | PUMP_RPM: 95003 | BRG_TEMP: 119.6
[T+5.040] INLET_P: 528.32 | PUMP_RPM: 94964 | BRG_TEMP: 119.5
[T+5.050] INLET_P: 445.75 | PUMP_RPM: 95046 | BRG_TEMP: 119.2
[T+5.060] INLET_P: 512.53 | PUMP_RPM: 94980 | BRG_TEMP: 120.8
[T+5.070] INLET_P: 752.10 | PUMP_RPM: 94963 | BRG_TEMP: 119.5
[T+5.080] INLET_P: 237.73 | PUMP_RPM: 95002 | BRG_TEMP: 120.4
[T+5.090] INLET_P: 543.19 | PUMP_RPM: 95050 | BRG_TEMP: 120.9
[T+5.100] INLET_P: 381.72 | PUMP_RPM: 95003 | BRG_TEMP: 119.8
[T+5.110] INLET_P: 834.78 | PUMP_RPM: 94978 | BRG_TEMP: 119.9
[T+5.120] INLET_P: 678.88 | PUMP_RPM: 94986 | BRG_TEMP: 121.0
[T+5.130] INLET_P: 202.11 | PUMP_RPM: 94988 | BRG_TEMP: 119.1
[T+5.140] INLET_P: 349.76 | PUMP_RPM: 95007 | BRG_TEMP: 119.3
[T+5.150] INLET_P: 651.98 | PUMP_RPM: 94959 | BRG_TEMP: 120.2
[T+5.160] INLET_P: 248.44 | PUMP_RPM: 95003 | BRG_TEMP: 120.5
[T+5.170] INLET_P: 360.35 | PUMP_RPM: 95043 | BRG_TEMP: 120.8
[T+5.180] INLET_P: 577.41 | PUMP_RPM: 95041 | BRG_TEMP: 119.9
[T+5.190] INLET_P: 701.34 | PUMP_RPM: 95003 | BRG_TEMP: 119.3
[T+5.200] INLET_P: 876.17 | PUMP_RPM: 95045 | BRG_TEMP: 119.1
[T+5.210] INLET_P: 786.23 | PUMP_RPM: 95032 | BRG_TEMP: 119.3
[T+5.220] INLET_P: 455.00 | PUMP_RPM: 94990 | BRG_TEMP: 120.0
[T+5.230] INLET_P: 536.26 | PUMP_RPM: 94958 | BRG_TEMP: 119.3
[T+5.240] INLET_P: 235.69 | PUMP_RPM: 94996 | BRG_TEMP: 119.8
[T+5.250] INLET_P: 452.20 | PUMP_RPM: 94962 | BRG_TEMP: 120.6
[T+5.260] INLET_P: 882.00 | PUMP_RPM: 95012 | BRG_TEMP: 120.6
[T+5.270] INLET_P: 421.34 | PUMP_RPM: 95026 | BRG_TEMP: 119.4
[T+5.280] INLET_P: 821.07 | PUMP_RPM: 94975 | BRG_TEMP: 120.5
[T+5.290] INLET_P: 520.85 | PUMP_RPM: 95031 | BRG_TEMP: 121.0
[T+5.300] INLET_P: 258.92 | PUMP_RPM: 95038 | BRG_TEMP: 120.5
[T+5.310] INLET_P: 214.32 | PUMP_RPM: 95045 | BRG_TEMP: 120.4
[T+5.320] INLET_P: 869.61 | PUMP_RPM: 95041 | BRG_TEMP: 119.4
[T+5.330] INLET_P: 567.10 | PUMP_RPM: 94953 | BRG_TEMP: 119.9
[T+5.340] INLET_P: 639.74 | PUMP_RPM: 95002 | BRG_TEMP: 120.9
[T+5.350] INLET_P: 623.30 | PUMP_RPM: 94981 | BRG_TEMP: 119.9
[T+5.360] INLET_P: 540.30 | PUMP_RPM: 94969 | BRG_TEMP: 119.2
[T+5.370] INLET_P: 779.33 | PUMP_RPM: 94974 | BRG_TEMP: 119.2
[T+5.380] INLET_P: 251.07 | PUMP_RPM: 94965 | BRG_TEMP: 120.4
[T+5.390] INLET_P: 719.95 | PUMP_RPM: 94968 | BRG_TEMP: 120.7
[T+5.400] INLET_P: 677.49 | PUMP_RPM: 94990 | BRG_TEMP: 120.5
[T+5.410] INLET_P: 626.02 | PUMP_RPM: 94964 | BRG_TEMP: 119.3
[T+5.420] INLET_P: 503.24 | PUMP_RPM: 94976 | BRG_TEMP: 119.8
[T+5.430] INLET_P: 485.38 | PUMP_RPM: 94974 | BRG_TEMP: 119.5
[T+5.440] INLET_P: 278.43 | PUMP_RPM: 95048 | BRG_TEMP: 119.5
[T+5.450] INLET_P: 698.94 | PUMP_RPM: 95018 | BRG_TEMP: 120.7
[T+5.460] INLET_P: 239.87 | PUMP_RPM: 95035 | BRG_TEMP: 119.8
[T+5.470] INLET_P: 490.29 | PUMP_RPM: 95034 | BRG_TEMP: 119.9
[T+5.480] INLET_P: 623.75 | PUMP_RPM: 95018 | BRG_TEMP: 119.4
[T+5.490] INLET_P: 234.72 | PUMP_RPM: 95014 | BRG_TEMP: 120.9
[T+5.500] INLET_P: 709.10 | PUMP_RPM: 94952 | BRG_TEMP: 120.2
[T+5.510] INLET_P: 882.99 | PUMP_RPM: 94977 | BRG_TEMP: 120.7
[T+5.520] INLET_P: 612.86 | PUMP_RPM: 94968 | BRG_TEMP: 119.2
[T+5.530] INLET_P: 777.58 | PUMP_RPM: 94998 | BRG_TEMP: 119.7
[T+5.540] INLET_P: 649.68 | PUMP_RPM: 94988 | BRG_TEMP: 120.2
[T+5.550] INLET_P: 451.99 | PUMP_RPM: 94955 | BRG_TEMP: 120.9
[T+5.560] INLET_P: 482.74 | PUMP_RPM: 95013 | BRG_TEMP: 120.9
[T+5.570] INLET_P: 265.67 | PUMP_RPM: 94978 | BRG_TEMP: 120.3
[T+5.580] INLET_P: 531.75 | PUMP_RPM: 94990 | BRG_TEMP: 119.7
[T+5.590] INLET_P: 292.43 | PUMP_RPM: 94964 | BRG_TEMP: 119.5
[T+5.600] INLET_P: 361.46 | PUMP_RPM: 95037 | BRG_TEMP: 119.8
[T+5.610] INLET_P: 654.15 | PUMP_RPM: 95018 | BRG_TEMP: 119.0
[T+5.620] INLET_P: 829.03 | PUMP_RPM: 94960 | BRG_TEMP: 119.5
[T+5.630] INLET_P: 235.03 | PUMP_RPM: 95017 | BRG_TEMP: 120.6
[T+5.640] INLET_P: 721.65 | PUMP_RPM: 94997 | BRG_TEMP: 119.5
[T+5.650] INLET_P: 871.35 | PUMP_RPM: 94988 | BRG_TEMP: 120.2
[T+5.660] INLET_P: 778.77 | PUMP_RPM: 95040 | BRG_TEMP: 120.4
[T+5.670] INLET_P: 333.73 | PUMP_RPM: 94962 | BRG_TEMP: 120.7
[T+5.680] INLET_P: 686.79 | PUMP_RPM: 94959 | BRG_TEMP: 120.4
[T+5.690] INLET_P: 389.62 | PUMP_RPM: 94982 | BRG_TEMP: 119.1
[T+5.700] INLET_P: 819.31 | PUMP_RPM: 95043 | BRG_TEMP: 119.6
[T+5.710] INLET_P: 210.49 | PUMP_RPM: 94971 | BRG_TEMP: 119.5
[T+5.720] INLET_P: 784.32 | PUMP_RPM: 94994 | BRG_TEMP: 120.9
[T+5.730] INLET_P: 385.45 | PUMP_RPM: 94973 | BRG_TEMP: 120.3
[T+5.740] INLET_P: 607.91 | PUMP_RPM: 94995 | BRG_TEMP: 120.6
[T+5.750] INLET_P: 806.37 | PUMP_RPM: 94996 | BRG_TEMP: 120.4
[T+5.760] INLET_P: 863.92 | PUMP_RPM: 95026 | BRG_TEMP: 120.3
[T+5.770] INLET_P: 454.32 | PUMP_RPM: 94950 | BRG_TEMP: 120.4
[T+5.780] INLET_P: 645.76 | PUMP_RPM: 94969 | BRG_TEMP: 120.5
[T+5.790] INLET_P: 202.97 | PUMP_RPM: 94987 | BRG_TEMP: 119.7
[T+5.800] INLET_P: 874.53 | PUMP_RPM: 95004 | BRG_TEMP: 119.8
[T+5.810] INLET_P: 627.50 | PUMP_RPM: 94992 | BRG_TEMP: 119.2
[T+5.820] INLET_P: 882.15 | PUMP_RPM: 94971 | BRG_TEMP: 120.0
[T+5.830] INLET_P: 565.17 | PUMP_RPM: 95019 | BRG_TEMP: 119.4
[T+5.840] INLET_P: 596.69 | PUMP_RPM: 95048 | BRG_TEMP: 120.6
[T+5.850] INLET_P: 595.53 | PUMP_RPM: 94974 | BRG_TEMP: 119.7
[T+5.860] INLET_P: 254.95 | PUMP_RPM: 95019 | BRG_TEMP: 120.9
[T+5.870] INLET_P: 728.77 | PUMP_RPM: 94979 | BRG_TEMP: 119.4
[T+5.880] INLET_P: 793.64 | PUMP_RPM: 94951 | BRG_TEMP: 119.5
